PO Code,Created,Type,PO Created By,PO Approved Date,Delivery Date,Item Type Name,Item SkuCode,Category,HSN Code,GST Tax Type Code,Vendor Name,Vendor Code,Vendor SkuCode,Order Quantity,Recieved Quantity,Rejected Quantity,Pending Quantity,PO Ageing (Days),% Pending,% Rejection,Facility,Unit Price,Sub Total,CGST,IGST,SGST,UTGST,CESS,CGST Rate,IGST Rate,SGST Rate,UTGST Rate,CESS Rate,Total,Purchase Order Status,Rejection Reason,Updated
SSI-PO-12102023,2023-11-22 22:47:43,Manual,gourav.dayma@marketingking.online,2023-11-25 15:22:51,2023-10-22,MTOSSI,17001008,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE8,3,3,0,0,33,0.0000,0.0000,MKOPL_FC,420.00,1260.00,0.00,151.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,1411.20,APPROVED,,2023-11-25 15:22:51
SSI-PO-12102023,2023-11-22 22:47:43,Manual,gourav.dayma@marketingking.online,2023-11-25 15:22:51,2023-10-22,MTOSSI,17001009,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE9,7,7,0,0,33,0.0000,0.0000,MKOPL_FC,420.00,2940.00,0.00,352.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,3292.80,APPROVED,,2023-11-25 15:22:51
SSI-PO-12102023,2023-11-22 22:47:43,Manual,gourav.dayma@marketingking.online,2023-11-25 15:22:51,2023-10-22,MTOSSI,17001010,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE10,8,8,0,0,33,0.0000,0.0000,MKOPL_FC,420.00,3360.00,0.00,403.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,3763.20,APPROVED,,2023-11-25 15:22:51
SSI-PO-12102023,2023-11-22 22:47:43,Manual,gourav.dayma@marketingking.online,2023-11-25 15:22:51,2023-10-22,MTOSSI,17003008,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8003D.BRNSIZE8,1,0,0,1,33,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-25 15:22:51
SSI-PO-12102023,2023-11-22 22:47:43,Manual,gourav.dayma@marketingking.online,2023-11-25 15:22:51,2023-10-22,MTOSSI,17002009,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002TANSIZE9,1,0,0,1,33,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-25 15:22:51
SSI-PO-12102023,2023-11-22 22:47:43,Manual,gourav.dayma@marketingking.online,2023-11-25 15:22:51,2023-10-22,MTOSSI,17005006,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE6,1,1,0,0,33,0.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-25 15:22:51
SSI-PO-12102023,2023-11-22 22:47:43,Manual,gourav.dayma@marketingking.online,2023-11-25 15:22:51,2023-10-22,MTOSSI,17005007,Men Lace-Up Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8002BRNSIZE7,1,0,0,1,33,100.0000,0.0000,MKOPL_FC,420.00,420.00,0.00,50.40,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,470.40,APPROVED,,2023-11-25 15:22:51
SSI-PO-13102023,2023-10-13 09:18:35,Manual,gourav.dayma@marketingking.online,2023-11-06 13:08:32,2023-10-23,MTOSSI,17001007,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE7,2,2,0,0,73,0.0000,0.0000,MKOPL_FC,420.00,840.00,0.00,100.80,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,940.80,APPROVED,,2023-11-06 13:08:32
SSI-PO-13102023,2023-10-13 09:18:35,Manual,gourav.dayma@marketingking.online,2023-11-06 13:08:32,2023-10-23,MTOSSI,17001008,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE8,13,13,0,0,73,0.0000,0.0000,MKOPL_FC,420.00,5460.00,0.00,655.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,6115.20,APPROVED,,2023-11-06 13:08:32
SSI-PO-13102023,2023-10-13 09:18:35,Manual,gourav.dayma@marketingking.online,2023-11-06 13:08:32,2023-10-23,MTOSSI,17001009,Men Slip-On Shoes,,GST_12,SHIV SAI INTERNATIONAL,SSI,8001BRNSIZE9,8,8,0,0,73,0.0000,0.0000,MKOPL_FC,420.00,3360.00,0.00,403.20,0.00,0.00,0.00,0.000,12.000,0.000,0.000,0.000,3763.20,APPROVED,,2023-11-06 13:08:32
